Date/Time	City	State	Shape	Duration	Summary	Posted
3/10/15 00:24	North Branch	MN	Unknown	10 minutes	Stationary lights southwest of North Branch, MN.  ((NUFORC Note:  Possible sighting of Sirius??  PD))	3/13/15
3/9/15 23:09	Willows	CA	Triangle	5 minutes	Triangular object flying over Willows, CA, going south to Sacramento, CA.	3/13/15
3/9/15 22:00	Westbank (Canada)	BC	TRIANGULAR	<1 minute	Low flying triangular sighting with 3 orange lights.	3/13/15
3/9/15 22:00	Tallahassee	FL	Oval	10 seconds	Red/orange obj. appeared near Orion randomly, and kept across the sky a super high speeds.  Was a weird shape.	3/13/15
3/9/15 21:30	Turlock	CA	Light	1 minute	Lights moving and dimming quickly.	3/13/15
3/9/15 21:00	Vancouver	WA	Formation	20 minutes	Three bright lights in formation.	3/13/15
3/9/15 21:00	Salmon	ID	Light	12 minutes	Strange and bright strobe like lights.  ((NUFORC Note:  Possible sighting of Sirius??  PD))	3/13/15
3/9/15 21:00	Albany	NY	Triangle		I seen a large looking object with 5 white lights flying low no sound moving slow speed over Albany, NY.	3/13/15
3/9/15 21:00	New Salem	MA	Triangle	2 minutes	Triangle shaped craft over Quabbin with red or color changing lights in the middle of craft	3/13/15
3/9/15 21:00	Quintana Roo-Playa del Carmen (Mexico)		Triangle	1 second	It was absolute in its deisgn and movement-purpose. My daughter and I will never forget that evening!	3/20/15
3/9/15 20:35	Florence	OR	Other	10 seconds	Dark dome shaped object over house.	3/13/15
3/9/15 20:15	Meridian	ID	Chevron	30 seconds	Grey color wing shape craft with no lights or sound.	3/13/15
3/9/15 19:00	Middlesbrough, Coulby Newham (UK/England)		Fireball	4 minutes	3 orange lights in triangle formation speeding up and slowing down.	3/13/15
3/9/15 19:00	Clarksville	TN	Triangle	3 minutes	I am not sure exactly what I saw, however, I was driving on Interstate 24 West when I spotted 3 lights in the sky in what appeared to b	3/13/15
3/9/15 15:00	In flight (Phoenix to NYC)		Other	4 hours	Observing an unusual light in the sky.  After a few hours, it flew straight at me and I saw it was a space craft.	3/26/15
3/9/15 15:00	?		Other	4 hours	Observing an unusual light in the sky after a few hours, it  flew at me and I saw it was a space craft.	3/20/15
3/9/15 06:00	Huntington Beach	CA	Light	5-10 minutes	Organized unusual bright orange lights separating and reattaching at high altitudes over HB.	3/13/15
3/9/15 01:20	Corning	NY	Formation	10 seconds	Two rounds lights, one craft, yellowish amber, silent	3/13/15
3/8/15 23:15	Montclair	NJ	Triangle	15-30 seconds	Triangular aircraft flying low over New Jersey (NYC suburbs)	3/13/15
