Date/Time	City	State	Shape	Duration	Summary	Posted	Month	Day	Date	Time	Periods	Duration_Sec	US_STATE	Lat	Long
9/27/15 22:00	Flushing	MI	Unknown	ongoing	At 21:20 was watching eclipse in progress and looked towards west and noticed what at first i thought was star or planet. went and got	9/29/15	9	27	9/27/15	22:00	12	877.0	1	43.063078976	-83.851069296
9/27/15 22:00	Narragansett	RI	Teardrop	2-3 minutes	Gold, teardrop, lunar eclipse, 9/27/2015, Narragansett, RI.	10/2/15	9	27	9/27/15	22:00	12	180.0	1	41.450098108	-71.449499285
9/27/15 22:00	Huntington	NY	Circle	20 minutes	Witnessed six bright orange orbs with bright white centers traveling from the SE to the NW about 30 seconds to one minute apart, eventu	10/9/15	9	27	9/27/15	22:00	12	1200.0	1	40.868146749	-73.425678923
9/27/15 22:00	Nashua	NH	Cigar	1-2 minutes	Entire fusalage had a red glow; no engine sounds at all.	10/2/15	9	27	9/27/15	22:00	12	120.0	1	42.765367394	-71.467569682
9/27/15 21:56	Salem	MA	Triangle	15 seconds	Sighting while watching the eclipse.	9/29/15	9	27	9/27/15	21:56	11	15.0	1	42.519536209	-70.896718838
9/27/15 21:45	Greenwood	IN	Flash	45 minutes	Greenwood Indiana blinking lights seen during Lunar Eclipse	9/29/15	9	27	9/27/15	21:45	11	2700.0	1	39.61365807	-86.106647141
9/27/15 21:43	Lincoln	AR	Triangle	35 seconds	A triangle shaped craft with blinking red and blue lights flew at 90 degree angles with stationary lights on the bottom.	9/29/15	9	27	9/27/15	21:43	11	35.0	1	-34.86648672	-61.530197003
9/27/15 21:30	Rexford	NY	Circle	40 minutes	Before the moon was shadowed by earth, my camera (only) picked up this green orb, moving erratically.  I have many more photos and two	9/29/15	9	27	9/27/15	21:30	11	2400.0	1	42.853127606	-73.887895907
9/27/15 21:30	Narragansett	RI	Sphere	2-3 minutes	Gold Orb Sphere Lunar Eclipse Narragansett, RI.	9/29/15	9	27	9/27/15	21:30	11	180.0	1	41.450098108	-71.449499285
9/27/15 21:18	Brookfield	WI	Light	1 minute	3 yellow orbs over Brookfield, Wisconsin.	9/29/15	9	27	9/27/15	21:18	11	60.0	1	43.060568198	-88.10647668
